JOBS: 
Id = 0, Burst Time = 29, Remaining Time = 29, Priority = 6
Id = 1, Burst Time = 73, Remaining Time = 73, Priority = 5
Id = 2, Burst Time = 24, Remaining Time = 24, Priority = 5
Id = 3, Burst Time = 56, Remaining Time = 56, Priority = 2
Id = 4, Burst Time = 70, Remaining Time = 70, Priority = 1
Id = 5, Burst Time = 42, Remaining Time = 42, Priority = 7
Id = 6, Burst Time = 6, Remaining Time = 6, Priority = 9
Id = 7, Burst Time = 96, Remaining Time = 96, Priority = 6
Id = 8, Burst Time = 43, Remaining Time = 43, Priority = 6
Id = 9, Burst Time = 80, Remaining Time = 80, Priority = 6
Id = 10, Burst Time = 99, Remaining Time = 99, Priority = 8
Id = 11, Burst Time = 61, Remaining Time = 61, Priority = 9
Id = 12, Burst Time = 27, Remaining Time = 27, Priority = 0
Id = 13, Burst Time = 45, Remaining Time = 45, Priority = 3
Id = 14, Burst Time = 92, Remaining Time = 92, Priority = 5
Id = 15, Burst Time = 33, Remaining Time = 33, Priority = 2
Id = 16, Burst Time = 55, Remaining Time = 55, Priority = 8
Id = 17, Burst Time = 96, Remaining Time = 96, Priority = 7
Id = 18, Burst Time = 74, Remaining Time = 74, Priority = 6
Id = 19, Burst Time = 14, Remaining Time = 14, Priority = 2
Id = 20, Burst Time = 52, Remaining Time = 52, Priority = 3
Id = 21, Burst Time = 82, Remaining Time = 82, Priority = 9
Id = 22, Burst Time = 78, Remaining Time = 78, Priority = 7
Id = 23, Burst Time = 60, Remaining Time = 60, Priority = 4
Id = 24, Burst Time = 30, Remaining Time = 30, Priority = 0
Id = 25, Burst Time = 75, Remaining Time = 75, Priority = 6
Id = 26, Burst Time = 47, Remaining Time = 47, Priority = 0
Id = 27, Burst Time = 63, Remaining Time = 63, Priority = 3
Id = 28, Burst Time = 51, Remaining Time = 51, Priority = 0
Id = 29, Burst Time = 50, Remaining Time = 50, Priority = 1
Id = 30, Burst Time = 16, Remaining Time = 16, Priority = 5
Id = 31, Burst Time = 60, Remaining Time = 60, Priority = 7
Id = 32, Burst Time = 84, Remaining Time = 84, Priority = 5
Id = 33, Burst Time = 44, Remaining Time = 44, Priority = 9
Id = 34, Burst Time = 5, Remaining Time = 5, Priority = 7
Id = 35, Burst Time = 1, Remaining Time = 1, Priority = 5
Id = 36, Burst Time = 10, Remaining Time = 10, Priority = 5
Id = 37, Burst Time = 12, Remaining Time = 12, Priority = 7
Id = 38, Burst Time = 57, Remaining Time = 57, Priority = 4
Id = 39, Burst Time = 7, Remaining Time = 7, Priority = 0
Id = 40, Burst Time = 8, Remaining Time = 8, Priority = 8
Id = 41, Burst Time = 16, Remaining Time = 16, Priority = 8
Id = 42, Burst Time = 15, Remaining Time = 15, Priority = 4
Id = 43, Burst Time = 25, Remaining Time = 25, Priority = 1
Id = 44, Burst Time = 81, Remaining Time = 81, Priority = 9
Id = 45, Burst Time = 7, Remaining Time = 7, Priority = 0
Id = 46, Burst Time = 54, Remaining Time = 54, Priority = 8
Id = 47, Burst Time = 65, Remaining Time = 65, Priority = 2
Id = 48, Burst Time = 17, Remaining Time = 17, Priority = 6
Id = 49, Burst Time = 94, Remaining Time = 94, Priority = 9
Id = 50, Burst Time = 64, Remaining Time = 64, Priority = 0
Id = 51, Burst Time = 75, Remaining Time = 75, Priority = 8
Id = 52, Burst Time = 72, Remaining Time = 72, Priority = 1
Id = 53, Burst Time = 60, Remaining Time = 60, Priority = 2
Id = 54, Burst Time = 52, Remaining Time = 52, Priority = 2
Id = 55, Burst Time = 17, Remaining Time = 17, Priority = 6
Id = 56, Burst Time = 44, Remaining Time = 44, Priority = 0
Id = 57, Burst Time = 9, Remaining Time = 9, Priority = 1
Id = 58, Burst Time = 7, Remaining Time = 7, Priority = 9
Id = 59, Burst Time = 20, Remaining Time = 20, Priority = 9
Id = 60, Burst Time = 5, Remaining Time = 5, Priority = 9
Id = 61, Burst Time = 82, Remaining Time = 82, Priority = 7
Id = 62, Burst Time = 88, Remaining Time = 88, Priority = 1
Id = 63, Burst Time = 94, Remaining Time = 94, Priority = 5
Id = 64, Burst Time = 55, Remaining Time = 55, Priority = 7
Id = 65, Burst Time = 22, Remaining Time = 22, Priority = 6
Id = 66, Burst Time = 78, Remaining Time = 78, Priority = 3
Id = 67, Burst Time = 88, Remaining Time = 88, Priority = 5
Id = 68, Burst Time = 77, Remaining Time = 77, Priority = 3
Id = 69, Burst Time = 78, Remaining Time = 78, Priority = 4
Id = 70, Burst Time = 11, Remaining Time = 11, Priority = 1
Id = 71, Burst Time = 84, Remaining Time = 84, Priority = 9
Id = 72, Burst Time = 22, Remaining Time = 22, Priority = 9
Id = 73, Burst Time = 10, Remaining Time = 10, Priority = 8
Id = 74, Burst Time = 26, Remaining Time = 26, Priority = 5
Id = 75, Burst Time = 14, Remaining Time = 14, Priority = 9
Id = 76, Burst Time = 52, Remaining Time = 52, Priority = 3
Id = 77, Burst Time = 87, Remaining Time = 87, Priority = 5
Id = 78, Burst Time = 39, Remaining Time = 39, Priority = 1
Id = 79, Burst Time = 41, Remaining Time = 41, Priority = 5
Id = 80, Burst Time = 66, Remaining Time = 66, Priority = 8
Id = 81, Burst Time = 9, Remaining Time = 9, Priority = 8
Id = 82, Burst Time = 56, Remaining Time = 56, Priority = 0
Id = 83, Burst Time = 92, Remaining Time = 92, Priority = 0
Id = 84, Burst Time = 45, Remaining Time = 45, Priority = 4
Id = 85, Burst Time = 61, Remaining Time = 61, Priority = 4
Id = 86, Burst Time = 60, Remaining Time = 60, Priority = 6
Id = 87, Burst Time = 7, Remaining Time = 7, Priority = 1
Id = 88, Burst Time = 36, Remaining Time = 36, Priority = 5
Id = 89, Burst Time = 10, Remaining Time = 10, Priority = 6
Id = 90, Burst Time = 41, Remaining Time = 41, Priority = 1
Id = 91, Burst Time = 90, Remaining Time = 90, Priority = 8
Id = 92, Burst Time = 15, Remaining Time = 15, Priority = 7
Id = 93, Burst Time = 31, Remaining Time = 31, Priority = 1
Id = 94, Burst Time = 54, Remaining Time = 54, Priority = 5
Id = 95, Burst Time = 45, Remaining Time = 45, Priority = 7
Id = 96, Burst Time = 31, Remaining Time = 31, Priority = 3
Id = 97, Burst Time = 60, Remaining Time = 60, Priority = 8
Id = 98, Burst Time = 49, Remaining Time = 49, Priority = 1
Id = 99, Burst Time = 16, Remaining Time = 16, Priority = 9
Id = 100, Burst Time = 21, Remaining Time = 21, Priority = 4
Id = 101, Burst Time = 44, Remaining Time = 44, Priority = 3
Id = 102, Burst Time = 18, Remaining Time = 18, Priority = 8
Id = 103, Burst Time = 60, Remaining Time = 60, Priority = 0
Id = 104, Burst Time = 62, Remaining Time = 62, Priority = 8
Id = 105, Burst Time = 13, Remaining Time = 13, Priority = 8
Id = 106, Burst Time = 88, Remaining Time = 88, Priority = 7
Id = 107, Burst Time = 93, Remaining Time = 93, Priority = 6
Id = 108, Burst Time = 75, Remaining Time = 75, Priority = 3
Id = 109, Burst Time = 52, Remaining Time = 52, Priority = 3
Id = 110, Burst Time = 90, Remaining Time = 90, Priority = 9
Id = 111, Burst Time = 47, Remaining Time = 47, Priority = 5
Id = 112, Burst Time = 47, Remaining Time = 47, Priority = 0
Id = 113, Burst Time = 3, Remaining Time = 3, Priority = 9
Id = 114, Burst Time = 57, Remaining Time = 57, Priority = 6
Id = 115, Burst Time = 85, Remaining Time = 85, Priority = 2
Id = 116, Burst Time = 88, Remaining Time = 88, Priority = 4
Id = 117, Burst Time = 53, Remaining Time = 53, Priority = 7
Id = 118, Burst Time = 73, Remaining Time = 73, Priority = 4
Id = 119, Burst Time = 57, Remaining Time = 57, Priority = 1
Id = 120, Burst Time = 81, Remaining Time = 81, Priority = 8
Id = 121, Burst Time = 33, Remaining Time = 33, Priority = 3
Id = 122, Burst Time = 68, Remaining Time = 68, Priority = 8
Id = 123, Burst Time = 68, Remaining Time = 68, Priority = 2
Id = 124, Burst Time = 45, Remaining Time = 45, Priority = 0
Id = 125, Burst Time = 70, Remaining Time = 70, Priority = 1
Id = 126, Burst Time = 14, Remaining Time = 14, Priority = 0
Id = 127, Burst Time = 53, Remaining Time = 53, Priority = 5
Id = 128, Burst Time = 22, Remaining Time = 22, Priority = 6
Id = 129, Burst Time = 53, Remaining Time = 53, Priority = 6
Id = 130, Burst Time = 70, Remaining Time = 70, Priority = 5
Id = 131, Burst Time = 51, Remaining Time = 51, Priority = 6
Id = 132, Burst Time = 61, Remaining Time = 61, Priority = 8
Id = 133, Burst Time = 60, Remaining Time = 60, Priority = 7
Id = 134, Burst Time = 16, Remaining Time = 16, Priority = 4
Id = 135, Burst Time = 64, Remaining Time = 64, Priority = 6
Id = 136, Burst Time = 81, Remaining Time = 81, Priority = 9
Id = 137, Burst Time = 61, Remaining Time = 61, Priority = 0
Id = 138, Burst Time = 21, Remaining Time = 21, Priority = 1
Id = 139, Burst Time = 88, Remaining Time = 88, Priority = 1
Id = 140, Burst Time = 46, Remaining Time = 46, Priority = 0
Id = 141, Burst Time = 98, Remaining Time = 98, Priority = 4
Id = 142, Burst Time = 71, Remaining Time = 71, Priority = 3
Id = 143, Burst Time = 17, Remaining Time = 17, Priority = 1
Id = 144, Burst Time = 3, Remaining Time = 3, Priority = 6
Id = 145, Burst Time = 67, Remaining Time = 67, Priority = 3
Id = 146, Burst Time = 2, Remaining Time = 2, Priority = 8
Id = 147, Burst Time = 27, Remaining Time = 27, Priority = 5
Id = 148, Burst Time = 21, Remaining Time = 21, Priority = 6
Id = 149, Burst Time = 93, Remaining Time = 93, Priority = 0
Id = 150, Burst Time = 98, Remaining Time = 98, Priority = 4
Id = 151, Burst Time = 28, Remaining Time = 28, Priority = 2
Id = 152, Burst Time = 52, Remaining Time = 52, Priority = 7
Id = 153, Burst Time = 25, Remaining Time = 25, Priority = 6
Id = 154, Burst Time = 14, Remaining Time = 14, Priority = 8
Id = 155, Burst Time = 33, Remaining Time = 33, Priority = 2
Id = 156, Burst Time = 68, Remaining Time = 68, Priority = 2
Id = 157, Burst Time = 13, Remaining Time = 13, Priority = 9
Id = 158, Burst Time = 78, Remaining Time = 78, Priority = 0
Id = 159, Burst Time = 31, Remaining Time = 31, Priority = 7
Id = 160, Burst Time = 94, Remaining Time = 94, Priority = 1
Id = 161, Burst Time = 47, Remaining Time = 47, Priority = 2
Id = 162, Burst Time = 14, Remaining Time = 14, Priority = 5
Id = 163, Burst Time = 54, Remaining Time = 54, Priority = 9
Id = 164, Burst Time = 55, Remaining Time = 55, Priority = 4
Id = 165, Burst Time = 65, Remaining Time = 65, Priority = 1
Id = 166, Burst Time = 3, Remaining Time = 3, Priority = 7
Id = 167, Burst Time = 30, Remaining Time = 30, Priority = 8
Id = 168, Burst Time = 75, Remaining Time = 75, Priority = 0
Id = 169, Burst Time = 22, Remaining Time = 22, Priority = 8
Id = 170, Burst Time = 64, Remaining Time = 64, Priority = 4
Id = 171, Burst Time = 41, Remaining Time = 41, Priority = 9
Id = 172, Burst Time = 81, Remaining Time = 81, Priority = 1
Id = 173, Burst Time = 70, Remaining Time = 70, Priority = 4
Id = 174, Burst Time = 80, Remaining Time = 80, Priority = 2
Id = 175, Burst Time = 36, Remaining Time = 36, Priority = 0
Id = 176, Burst Time = 95, Remaining Time = 95, Priority = 5
Id = 177, Burst Time = 66, Remaining Time = 66, Priority = 9
Id = 178, Burst Time = 53, Remaining Time = 53, Priority = 2
Id = 179, Burst Time = 39, Remaining Time = 39, Priority = 3
Id = 180, Burst Time = 66, Remaining Time = 66, Priority = 0
Id = 181, Burst Time = 58, Remaining Time = 58, Priority = 0
Id = 182, Burst Time = 90, Remaining Time = 90, Priority = 1
Id = 183, Burst Time = 19, Remaining Time = 19, Priority = 6
Id = 184, Burst Time = 40, Remaining Time = 40, Priority = 5
Id = 185, Burst Time = 51, Remaining Time = 51, Priority = 4
Id = 186, Burst Time = 90, Remaining Time = 90, Priority = 9
Id = 187, Burst Time = 34, Remaining Time = 34, Priority = 6
Id = 188, Burst Time = 43, Remaining Time = 43, Priority = 5
Id = 189, Burst Time = 29, Remaining Time = 29, Priority = 2
Id = 190, Burst Time = 99, Remaining Time = 99, Priority = 4
Id = 191, Burst Time = 95, Remaining Time = 95, Priority = 5
Id = 192, Burst Time = 42, Remaining Time = 42, Priority = 7
Id = 193, Burst Time = 3, Remaining Time = 3, Priority = 3
Id = 194, Burst Time = 77, Remaining Time = 77, Priority = 4
Id = 195, Burst Time = 97, Remaining Time = 97, Priority = 9
Id = 196, Burst Time = 41, Remaining Time = 41, Priority = 2
Id = 197, Burst Time = 8, Remaining Time = 8, Priority = 6
Id = 198, Burst Time = 39, Remaining Time = 39, Priority = 1
Id = 199, Burst Time = 94, Remaining Time = 94, Priority = 8
Id = 200, Burst Time = 61, Remaining Time = 61, Priority = 9
Id = 201, Burst Time = 77, Remaining Time = 77, Priority = 8
Id = 202, Burst Time = 34, Remaining Time = 34, Priority = 8
Id = 203, Burst Time = 22, Remaining Time = 22, Priority = 8
Id = 204, Burst Time = 11, Remaining Time = 11, Priority = 8
Id = 205, Burst Time = 97, Remaining Time = 97, Priority = 3
Id = 206, Burst Time = 11, Remaining Time = 11, Priority = 8
Id = 207, Burst Time = 4, Remaining Time = 4, Priority = 4
Id = 208, Burst Time = 47, Remaining Time = 47, Priority = 6
Id = 209, Burst Time = 45, Remaining Time = 45, Priority = 9
Id = 210, Burst Time = 42, Remaining Time = 42, Priority = 6
Id = 211, Burst Time = 67, Remaining Time = 67, Priority = 7
Id = 212, Burst Time = 93, Remaining Time = 93, Priority = 0
Id = 213, Burst Time = 11, Remaining Time = 11, Priority = 3
Id = 214, Burst Time = 97, Remaining Time = 97, Priority = 7
Id = 215, Burst Time = 6, Remaining Time = 6, Priority = 2
Id = 216, Burst Time = 46, Remaining Time = 46, Priority = 5
Id = 217, Burst Time = 9, Remaining Time = 9, Priority = 6
Id = 218, Burst Time = 89, Remaining Time = 89, Priority = 8
Id = 219, Burst Time = 52, Remaining Time = 52, Priority = 9
Id = 220, Burst Time = 77, Remaining Time = 77, Priority = 0
Id = 221, Burst Time = 9, Remaining Time = 9, Priority = 1
Id = 222, Burst Time = 37, Remaining Time = 37, Priority = 4
Id = 223, Burst Time = 36, Remaining Time = 36, Priority = 7
Id = 224, Burst Time = 15, Remaining Time = 15, Priority = 8
Id = 225, Burst Time = 8, Remaining Time = 8, Priority = 2
Id = 226, Burst Time = 18, Remaining Time = 18, Priority = 7
Id = 227, Burst Time = 35, Remaining Time = 35, Priority = 3
Id = 228, Burst Time = 45, Remaining Time = 45, Priority = 2
Id = 229, Burst Time = 40, Remaining Time = 40, Priority = 3
Id = 230, Burst Time = 48, Remaining Time = 48, Priority = 1
Id = 231, Burst Time = 99, Remaining Time = 99, Priority = 8
Id = 232, Burst Time = 26, Remaining Time = 26, Priority = 1
Id = 233, Burst Time = 69, Remaining Time = 69, Priority = 4
Id = 234, Burst Time = 35, Remaining Time = 35, Priority = 2
Id = 235, Burst Time = 13, Remaining Time = 13, Priority = 7
Id = 236, Burst Time = 67, Remaining Time = 67, Priority = 9
Id = 237, Burst Time = 95, Remaining Time = 95, Priority = 4
Id = 238, Burst Time = 30, Remaining Time = 30, Priority = 9
Id = 239, Burst Time = 84, Remaining Time = 84, Priority = 5
Id = 240, Burst Time = 7, Remaining Time = 7, Priority = 0
Id = 241, Burst Time = 98, Remaining Time = 98, Priority = 1
Id = 242, Burst Time = 63, Remaining Time = 63, Priority = 9
Id = 243, Burst Time = 33, Remaining Time = 33, Priority = 8
Id = 244, Burst Time = 76, Remaining Time = 76, Priority = 5
Id = 245, Burst Time = 48, Remaining Time = 48, Priority = 4
Id = 246, Burst Time = 16, Remaining Time = 16, Priority = 0
Id = 247, Burst Time = 13, Remaining Time = 13, Priority = 0
Id = 248, Burst Time = 52, Remaining Time = 52, Priority = 9
Id = 249, Burst Time = 51, Remaining Time = 51, Priority = 2
Id = 250, Burst Time = 99, Remaining Time = 99, Priority = 2
Id = 251, Burst Time = 94, Remaining Time = 94, Priority = 7
Id = 252, Burst Time = 82, Remaining Time = 82, Priority = 1
Id = 253, Burst Time = 67, Remaining Time = 67, Priority = 9
Id = 254, Burst Time = 16, Remaining Time = 16, Priority = 5
Id = 255, Burst Time = 54, Remaining Time = 54, Priority = 7
Id = 256, Burst Time = 42, Remaining Time = 42, Priority = 4
Id = 257, Burst Time = 43, Remaining Time = 43, Priority = 6
Id = 258, Burst Time = 83, Remaining Time = 83, Priority = 7
Id = 259, Burst Time = 12, Remaining Time = 12, Priority = 8
Id = 260, Burst Time = 46, Remaining Time = 46, Priority = 8
Id = 261, Burst Time = 78, Remaining Time = 78, Priority = 6
Id = 262, Burst Time = 5, Remaining Time = 5, Priority = 6
Id = 263, Burst Time = 97, Remaining Time = 97, Priority = 4
Id = 264, Burst Time = 68, Remaining Time = 68, Priority = 2
Id = 265, Burst Time = 37, Remaining Time = 37, Priority = 9
Id = 266, Burst Time = 10, Remaining Time = 10, Priority = 0
Id = 267, Burst Time = 30, Remaining Time = 30, Priority = 0
Id = 268, Burst Time = 16, Remaining Time = 16, Priority = 0
Id = 269, Burst Time = 3, Remaining Time = 3, Priority = 3
Id = 270, Burst Time = 44, Remaining Time = 44, Priority = 7
Id = 271, Burst Time = 48, Remaining Time = 48, Priority = 6
Id = 272, Burst Time = 7, Remaining Time = 7, Priority = 5
Id = 273, Burst Time = 87, Remaining Time = 87, Priority = 0
Id = 274, Burst Time = 64, Remaining Time = 64, Priority = 9
Id = 275, Burst Time = 42, Remaining Time = 42, Priority = 9
Id = 276, Burst Time = 55, Remaining Time = 55, Priority = 4
Id = 277, Burst Time = 66, Remaining Time = 66, Priority = 1
Id = 278, Burst Time = 6, Remaining Time = 6, Priority = 3
Id = 279, Burst Time = 10, Remaining Time = 10, Priority = 8
Id = 280, Burst Time = 8, Remaining Time = 8, Priority = 6
Id = 281, Burst Time = 35, Remaining Time = 35, Priority = 4
Id = 282, Burst Time = 75, Remaining Time = 75, Priority = 7
Id = 283, Burst Time = 7, Remaining Time = 7, Priority = 0
Id = 284, Burst Time = 56, Remaining Time = 56, Priority = 7
Id = 285, Burst Time = 16, Remaining Time = 16, Priority = 9
Id = 286, Burst Time = 63, Remaining Time = 63, Priority = 8
Id = 287, Burst Time = 81, Remaining Time = 81, Priority = 3
Id = 288, Burst Time = 53, Remaining Time = 53, Priority = 8
Id = 289, Burst Time = 54, Remaining Time = 54, Priority = 7
Id = 290, Burst Time = 64, Remaining Time = 64, Priority = 3
Id = 291, Burst Time = 23, Remaining Time = 23, Priority = 8
Id = 292, Burst Time = 13, Remaining Time = 13, Priority = 4
Id = 293, Burst Time = 73, Remaining Time = 73, Priority = 9
Id = 294, Burst Time = 46, Remaining Time = 46, Priority = 9
Id = 295, Burst Time = 87, Remaining Time = 87, Priority = 8
Id = 296, Burst Time = 30, Remaining Time = 30, Priority = 8
Id = 297, Burst Time = 67, Remaining Time = 67, Priority = 3
Id = 298, Burst Time = 83, Remaining Time = 83, Priority = 1
Id = 299, Burst Time = 91, Remaining Time = 91, Priority = 8
Id = 300, Burst Time = 80, Remaining Time = 80, Priority = 9
Id = 301, Burst Time = 35, Remaining Time = 35, Priority = 9
Id = 302, Burst Time = 69, Remaining Time = 69, Priority = 3
Id = 303, Burst Time = 8, Remaining Time = 8, Priority = 4
Id = 304, Burst Time = 83, Remaining Time = 83, Priority = 7
Id = 305, Burst Time = 34, Remaining Time = 34, Priority = 2
Id = 306, Burst Time = 52, Remaining Time = 52, Priority = 0
Id = 307, Burst Time = 63, Remaining Time = 63, Priority = 1
Id = 308, Burst Time = 39, Remaining Time = 39, Priority = 5
Id = 309, Burst Time = 78, Remaining Time = 78, Priority = 7
Id = 310, Burst Time = 17, Remaining Time = 17, Priority = 1
Id = 311, Burst Time = 35, Remaining Time = 35, Priority = 1
Id = 312, Burst Time = 82, Remaining Time = 82, Priority = 1
Id = 313, Burst Time = 45, Remaining Time = 45, Priority = 0
Id = 314, Burst Time = 73, Remaining Time = 73, Priority = 0
Id = 315, Burst Time = 99, Remaining Time = 99, Priority = 5
Id = 316, Burst Time = 41, Remaining Time = 41, Priority = 6
Id = 317, Burst Time = 92, Remaining Time = 92, Priority = 2
Id = 318, Burst Time = 49, Remaining Time = 49, Priority = 9
Id = 319, Burst Time = 27, Remaining Time = 27, Priority = 4
Id = 320, Burst Time = 57, Remaining Time = 57, Priority = 0
Id = 321, Burst Time = 76, Remaining Time = 76, Priority = 1
Id = 322, Burst Time = 13, Remaining Time = 13, Priority = 2
Id = 323, Burst Time = 71, Remaining Time = 71, Priority = 9
Id = 324, Burst Time = 70, Remaining Time = 70, Priority = 5
Id = 325, Burst Time = 33, Remaining Time = 33, Priority = 4
Id = 326, Burst Time = 10, Remaining Time = 10, Priority = 3
Id = 327, Burst Time = 27, Remaining Time = 27, Priority = 9
Id = 328, Burst Time = 67, Remaining Time = 67, Priority = 4
Id = 329, Burst Time = 52, Remaining Time = 52, Priority = 1
